,Variable 1,Variable 2,Silhouette Score
7665,G4-3  R_cut = 11,G4-4  R_cut = 11,0.6948428999441935
7145,G5-3  R_cut = 9,G5-3  R_cut = 10,0.6948428999441935
7384,G4-4  R_cut = 10,G5-4  R_cut = 10,0.6948428999441935
6370,G4-4  R_cut = 8,G4-4  R_cut = 11,0.6948428999441935
6369,G4-4  R_cut = 8,G4-3  R_cut = 11,0.6948428999441935
1034,G3-3 R_cut = 7,G4-5  R_cut = 8,0.6948428999441935
7383,G4-4  R_cut = 10,G5-3  R_cut = 10,0.6948428999441935
7770,G5-3  R_cut = 11,G5-4  R_cut = 11,0.6948428999441935
6363,G4-4  R_cut = 8,G5-3  R_cut = 10,0.6948428999441935
6358,G4-4  R_cut = 8,G4-4  R_cut = 10,0.6948428999441935
7364,G4-3  R_cut = 10,G5-3  R_cut = 11,0.6948428999441935
6357,G4-4  R_cut = 8,G4-3  R_cut = 10,0.6948428999441935
7376,G4-3  R_cut = 10,G5-3  R_cut = 12,0.6948428999441935
6351,G4-4  R_cut = 8,G5-3  R_cut = 9,0.6948428999441935
6346,G4-4  R_cut = 8,G4-4  R_cut = 9,0.6948428999441935
6345,G4-4  R_cut = 8,G4-3  R_cut = 9,0.6948428999441935
7371,G4-3  R_cut = 10,G4-4  R_cut = 12,0.6948428999441935
6339,G4-4  R_cut = 8,G5-3  R_cut = 8,0.6948428999441935
7775,G5-3  R_cut = 11,G4-3  R_cut = 12,0.6948428999441935
7776,G5-3  R_cut = 11,G4-4  R_cut = 12,0.6948428999441935
1038,G3-3 R_cut = 7,G5-3  R_cut = 8,0.6948428999441935
7389,G4-4  R_cut = 10,G4-3  R_cut = 11,0.6948428999441935
7794,G5-4  R_cut = 11,G5-3  R_cut = 12,0.6948428999441935
7146,G5-3  R_cut = 9,G5-4  R_cut = 10,0.6948428999441935
1062,G3-3 R_cut = 7,G5-3  R_cut = 10,0.6948428999441935
1058,G3-3 R_cut = 7,G4-5  R_cut = 10,0.6948428999441935
1057,G3-3 R_cut = 7,G4-4  R_cut = 10,0.6948428999441935
7788,G5-4  R_cut = 11,G4-3  R_cut = 12,0.6948428999441935
6382,G4-4  R_cut = 8,G4-4  R_cut = 12,0.6948428999441935
6381,G4-4  R_cut = 8,G4-3  R_cut = 12,0.6948428999441935
7391,G4-4  R_cut = 10,G4-5  R_cut = 11,0.6948428999441935
1050,G3-3 R_cut = 7,G5-3  R_cut = 9,0.6948428999441935
7390,G4-4  R_cut = 10,G4-4  R_cut = 11,0.6948428999441935
1046,G3-3 R_cut = 7,G4-5  R_cut = 9,0.6948428999441935
7782,G5-3  R_cut = 11,G5-4  R_cut = 12,0.6948428999441935
7781,G5-3  R_cut = 11,G5-3  R_cut = 12,0.6948428999441935
6375,G4-4  R_cut = 8,G5-3  R_cut = 11,0.6948428999441935
6885,G4-3  R_cut = 9,G4-4  R_cut = 9,0.6948428999441935
7359,G4-3  R_cut = 10,G4-4  R_cut = 11,0.6948428999441935
1070,G3-3 R_cut = 7,G4-5  R_cut = 11,0.6948428999441935
7696,G4-4  R_cut = 11,G4-4  R_cut = 12,0.6948428999441935
6951,G4-4  R_cut = 9,G4-3  R_cut = 11,0.6948428999441935
6952,G4-4  R_cut = 9,G4-4  R_cut = 11,0.6948428999441935
6303,G4-3  R_cut = 8,G4-4  R_cut = 10,0.6948428999441935
6957,G4-4  R_cut = 9,G5-3  R_cut = 11,0.6948428999441935
7695,G4-4  R_cut = 11,G4-3  R_cut = 12,0.6948428999441935
6963,G4-4  R_cut = 9,G4-3  R_cut = 12,0.6948428999441935
6964,G4-4  R_cut = 9,G4-4  R_cut = 12,0.6948428999441935
6969,G4-4  R_cut = 9,G5-3  R_cut = 12,0.6948428999441935
6902,G4-3  R_cut = 9,G5-3  R_cut = 10,0.6948428999441935
6291,G4-3  R_cut = 8,G4-4  R_cut = 9,0.6948428999441935
247,G2-0 R_cut = 7,G5-4  R_cut = 12,0.6948428999441935
7701,G4-4  R_cut = 11,G5-3  R_cut = 12,0.6948428999441935
6279,G4-3  R_cut = 8,G4-4  R_cut = 8,0.6948428999441935
7006,G4-5  R_cut = 9,G4-4  R_cut = 12,0.6948428999441935
235,G2-0 R_cut = 7,G5-4  R_cut = 11,0.6948428999441935
241,G2-0 R_cut = 7,G4-4  R_cut = 12,0.6948428999441935
7134,G5-3  R_cut = 9,G5-4  R_cut = 9,0.6948428999441935
6308,G4-3  R_cut = 8,G5-3  R_cut = 10,0.6948428999441935
7140,G5-3  R_cut = 9,G4-4  R_cut = 10,0.6948428999441935
6945,G4-4  R_cut = 9,G5-3  R_cut = 10,0.6948428999441935
6327,G4-3  R_cut = 8,G4-4  R_cut = 12,0.6948428999441935
7689,G4-4  R_cut = 11,G5-3  R_cut = 11,0.6948428999441935
6909,G4-3  R_cut = 9,G4-4  R_cut = 11,0.6948428999441935
7352,G4-3  R_cut = 10,G5-3  R_cut = 10,0.6948428999441935
6914,G4-3  R_cut = 9,G5-3  R_cut = 11,0.6948428999441935
6921,G4-3  R_cut = 9,G4-4  R_cut = 12,0.6948428999441935
6320,G4-3  R_cut = 8,G5-3  R_cut = 11,0.6948428999441935
7347,G4-3  R_cut = 10,G4-4  R_cut = 10,0.6948428999441935
6926,G4-3  R_cut = 9,G5-3  R_cut = 12,0.6948428999441935
131,G2-0 R_cut = 7,G3-3 R_cut = 7,0.6948428999441935
6933,G4-4  R_cut = 9,G5-3  R_cut = 9,0.6948428999441935
6935,G4-4  R_cut = 9,G5-5  R_cut = 9,0.6948428999441935
229,G2-0 R_cut = 7,G4-4  R_cut = 11,0.6948428999441935
6939,G4-4  R_cut = 9,G4-3  R_cut = 10,0.6948428999441935
6940,G4-4  R_cut = 9,G4-4  R_cut = 10,0.6948428999441935
6387,G4-4  R_cut = 8,G5-3  R_cut = 12,0.6948428999441935
7395,G4-4  R_cut = 10,G5-3  R_cut = 11,0.6948428999441935
6667,G5-4  R_cut = 8,G4-4  R_cut = 10,0.6948428999441935
6624,G5-3  R_cut = 8,G5-4  R_cut = 10,0.6948428999441935
7529,G5-3  R_cut = 10,G4-3  R_cut = 11,0.6948428999441935
6612,G5-3  R_cut = 8,G5-4  R_cut = 9,0.6948428999441935
217,G2-0 R_cut = 7,G4-4  R_cut = 10,0.6948428999441935
6684,G5-4  R_cut = 8,G5-3  R_cut = 11,0.6948428999441935
7182,G5-4  R_cut = 9,G5-3  R_cut = 10,0.6948428999441935
7535,G5-3  R_cut = 10,G5-3  R_cut = 11,0.6948428999441935
7536,G5-3  R_cut = 10,G5-4  R_cut = 11,0.6948428999441935
7542,G5-3  R_cut = 10,G4-4  R_cut = 12,0.6948428999441935
6672,G5-4  R_cut = 8,G5-3  R_cut = 10,0.6948428999441935
7547,G5-3  R_cut = 10,G5-3  R_cut = 12,0.6948428999441935
7839,G4-3  R_cut = 12,G4-4  R_cut = 12,0.6948428999441935
1074,G3-3 R_cut = 7,G5-3  R_cut = 11,0.6948428999441935
6617,G5-3  R_cut = 8,G4-3  R_cut = 10,0.6948428999441935
7548,G5-3  R_cut = 10,G5-4  R_cut = 12,0.6948428999441935
205,G2-0 R_cut = 7,G4-4  R_cut = 9,0.6948428999441935
6660,G5-4  R_cut = 8,G5-3  R_cut = 9,0.6948428999441935
6655,G5-4  R_cut = 8,G4-4  R_cut = 9,0.6948428999441935
7670,G4-3  R_cut = 11,G5-3  R_cut = 11,0.6948428999441935
6648,G5-3  R_cut = 8,G5-4  R_cut = 12,0.6948428999441935
6647,G5-3  R_cut = 8,G5-3  R_cut = 12,0.6948428999441935
